# levi CP1258 utf 
0x201A 0x010C
0x0102 0x00C3
0x2122 0x01E6
0x00BE 0x017D
0x0103 0x00E3
0x2026 0x01B7
0x00B9 0x014B
0x0323 0x00F2
0x01A1 0x00F5
0x2030 0x0110
0x00BF 0x017E
0x01A0 0x00D5
0x00B2 0x01E8
0x00A2 0x01E4
0x0301 0x00EC
0x2021 0x01EE
0x0309 0x00D2
0x0111 0x00F0
0x0300 0x00CC
0x01B0 0x00FD
0x00AA 0x021E
0x20AB 0x00FE
0x00A5 0x01E5
0x00BA 0x0166
0x00A1 0x01E7
0x02DC 0x0111
0x00BC 0x0167
0x00B8 0x014A
0x0303 0x00DE
0x02C6 0x01EF
0x2020 0x0292
0x201E 0x010D
0x00AF 0x021F
0x01AF 0x00DD
0x0110 0x00D0
0x00B3 0x01E9
